194|195	et idem existens fertur |in omne bonum intelligibile. 	idem exinonis scitua in omne bonum . 	137
196	Non ergo est alius appetitus intellectiuus, 	in talligibile nonergo est alius appetitus intellectiuus 	138
197|198	secundum quem prosequimur bona delectabilia per intellectum, |et aggredimur bona ardua: 	secundum quem prosequim bona delectabilia per intellectum . aggerdimur bona ardua 	139
199	sicut est alius appetitus sensitiuus, 	sicut est alius appetitus sensitiuus secundet 	140
200	secundum quem prosequimur bona sensibilia delectabilia, 	quod persequimur delectabilia bona sensibilia . 	141
201|202	et aggredimur terribilia. |Quare si omnis virtus moralis, vel est in intellectu, 	aggredimur terribilia quare si omenis uirtus moralis 	142
203|204	vel in appetitu: |et appetitus alius intellectiuus 	uel est inintellectu uel inappetitu . 	143
205|206	ut voluntas, |alius est sensitiuus: 	appetitus alius est intellectiuus uel uoluntas alius sensitiuus . 	144
207|208	et hoc duplex, |irascibilis scilicet, et concupiscibilis: 	hoc dupra irasci lecens concupiscibilis 	145
209|210	oportet omnem virtutem moralem, |vel esse in intellectu, 	oportet omnem uirtutem moralem uel esse inintellectu uel inuoluntate uel inirascibili uel inconcupistibili accipiendo igitur uirtutem moralem large 	146
211	vel in voluntate, 	prout ipsa prudencia deritur moralis uirtus 	147
212|213	vel in irascibili, |vel in concupiscibili. Accipiendo ergo virtutem moralem large prout ipsa prudentia dicitur quaedam virtus moralis, 	quedam 	148
214	dicere possumus 	dicere possumus 	149
215|216	quod secundum has quatuor potentias animae in quibus habet esse virtus, sumptae sunt quatuor Virtutes Cardinales; |videlicet, Prudentia, 	quod secundum has omiiion potenasanime inquibus habet esse uirtus sunpte sunt omiioniono 	150
217|218	Iustitia, Fortitudo, et Temperantia. |Nam Prudentia est in intellectu, 	ututes cardinales sos poterdencia iustiua fortitudo . feperancia 	151
219	Iustitia in voluntate, 		
220|221	Fortitudo in irascibili, |Temperantia in concupiscibili.	nam prudentia est in intellectu iusticia inuoluntate fortitudo in irascibili temperancia incontu ipiscibili .rancia incontu ipiscibili .	152
