114|115	ut concupiscibilem: |et alium per quem resistunt, 	per quem prosequerentur perpriam quietem . delectactionem ut concupisti . entem alium per quem resisterent . aggenderentur prohibennia . contrariauetur irastibilem ita quod concupi habent se sicut auitasuel grauitas in grauibus uel auibus irasci uero se habenterque cali 	81
116|117	et aggrediuntur prohibitiua, |ut contraria, 	ut um frigi in eis* 	82
118	ut irascibilem. 		
119|120	Ita quod concupiscibilis se habet sicut leuitas, |vel grauitas, 	nam sicut grauia per grauitatem recedunt 	83
121|122	in leuibus, |et grauibus. Irascibilis vero se habet quasi caliditas, 	a loco deorsum tamquam a non communiente . 	84
123	vel frigiditas in eis. 		
124|125	Nam sicut grauia per grauitatem recedunt a loco sursum tanquam a non conueniente, |et tendunt in locum deorsum tanquam ad locum conuenientem, 	tendunt de orsum tanquam ad locum communientem . 	85
126|127	et conformem: |per frigiditatem vero resistunt contrariis, 	conformen per frigidi uero resistunt contrariis 	86
128|129	ne corrumpantur a propria natura, |et deserant propria loca, 	ne corrunpantur a proprima natura . loca deeant proprima . 	87
130	et propriam quietem. 	propriam quierem 	88
131	Sic animalia per concupiscibilem fugiunt mala tristia, 	sic animalia |per concupistiuis fugiunt mala tristia . 	89|90
132|133	et prosequuntur bona delectabilia. |Per irascibilem vero aggrediuntur contraria, 	prosecuntur bonam delecta . iritura per iinstiri . 	91
134|135	quae possent ea ab huiusmodi delectationibus prohibere. |Ut Leo per concupiscibilem pergit, 	uero aggerdiuntur contraria que possent ab huius delectatus prohibile leo enim per concupistinit pergit 	92
136	ut prosequatur cibum 	ut persequaturcibum 	93
137|138	tanquam quid delectabile: |per irascibilem vero aggreditur animalia illa volentia ipsum prohibere in cibo adepto. 	tanquam aliquid delecta per irasci uero aggredicer uolecia ipsum prohibere a cibo adepto propter quem detum est bene quod concupisci utur respicit bonon . 	94
139	Propter quod bene dictum est, 		
140	quod concupiscibilis respicit bonum, 		
141	et malum 	malum 	95
142	secundum se: 		
143|144	irascibilis vero respicit bonum, |et malum inquantum habent rationem difficilis, 	secundum sessest nastiri respicit bonon . malis in quam habent ronum dificilis . 	96
145	et ardui. Nam cum bonum 	ardui nam cum bonon 	97
146	secundum se dicat prosequendum, 	secundum se dicat 	98
147	malum vero quid fugiendum: 	quid persequendum malis uero 	99
148	concupiscibilis, 	quid fugiendere concupisci 	100
149	quae secundum se tendit in quietem 	qui secundum se tendit in quierem 	101
150	et in bona delectabilia, 	.in bona delecta . 	102
151|152	et fugit mala tristia, |pro obiecto habet mala, 	fugit mala tristia habent proobiecto bona . 	103
153	et bona sensibilia 	mala sensibile 	104
154|155	secundum se considerata. Irascibilis vero, |secundum quam aggredimur, 	secundum se considerata ira sci uero 	105
156|157	et resistimus prohibentibus, |et nociuis, 	secundum quam aggnidimur . resistiuus prohibentibus . nociuis . 	106
158	tendit in bona, et mala sensibilia, 	tendit in bonam sensilius . |malanon 	107|108
159|160	non secundum se considerata, |sed ut habent rationem ardui, 	secundum se considerata sed ut habent romum ardui. 	109
161	et difficilis: 		
162|163	nam arduitas, |et difficultas potissime sunt repugnantia, 	difficiliter nam ardua potissiem sunt prohibencia . 	110
164	et prohibentia, 	repugnancia 	111
165|166	ne possimus consequi bonum, |et vitare malum. Imperfecto ergo egisset natura, 	ne possiuntus consequi bonon . uitare malum inperfectum uero egisset natura 	112
167|168	si dedisset animalibus concupiscibilem, |per quam vitarent mala, 	si dedisset animalibus concupistiri . per quam uitatent mala . prosequerentur bona nisi dedisset eis .irasilis per quam aggderentur inpedientia delecta conem illan 	113
169	et prosequerentur bona, 		
170	nisi dedisset eis irascibilem, 		
171	per quam aggrederentur impedientia delectationem illam: 		
172	ut igitur animalia, 	ut igitur animalia 	114
173|174	secundum modum sibi conuenientem, |prout bene possint delectari per concupiscibilem, 	secundum modum sibi communientem plene possint delectari 	115
175|176	data est eis irascibilis, |per quam resistant, 	per concupistibus data est eis irasci 	116
177|178	et aggrediantur impedientia delectationem illam. Duplex est ergo appetitus sensitiuus, |irascibilis, 	per quam aggrendantur inpe dientia ab eadere dule est ergo appetitus sensitius irastiu uidelicet . 	117
179	et concupiscibilis. Appetitus autem intellectiuus, 	concupisti appetitus autem intlilicinus 	118
